Date,Open,Close,High,Low,Volume_(BTC),Volume_(Currency),Weighted_Price
2015-02-26,237.11,251.98,259.0,234.33,12868.77291427,3118644.453635798,237.799664208
2015-02-27,251.96,252.71,258.99,247.64,16417.74838108,4167972.675378904,253.60277435886806
2015-02-28,252.71,255.0,256.29,250.0,6855.37662415,1740489.6548379108,253.9520376483611
2015-03-01,255.09,260.48,263.13,244.88,12175.25502613,3103040.390715093,253.843283049875
2015-03-02,260.58,278.02,279.8,256.6,19804.92966261,5327706.176503307,267.018459896
2015-03-03,277.87,281.51,289.5,267.07,18377.78014349,5123553.014149166,277.97010050125
2015-03-04,281.56,271.5,285.0,267.39,13447.60402282,3728268.2519476037,277.9802321709444
2015-03-05,271.69,275.39,281.09,262.49,12213.9068699,3326959.515473038,271.9885703137708
2015-03-06,275.25,273.73,276.3,269.12,9500.0446774,2593821.64715157,272.9199953226875
2015-03-07,273.69,277.84,279.44,270.55,6384.82144547,1760559.53675665,274.94979135789583
2015-03-08,277.82,278.6,279.39,270.29,5805.16101063,1599572.586728817,275.44619457595655
2015-03-09,278.43,296.81,298.87,277.36,15838.09439023,4562575.106535283,285.47607916265275
2015-03-10,297.22,293.23,299.48,290.51,15090.83358595,4457687.86389469,294.93998822014584
2015-03-11,293.23,293.46,297.8,291.2,9678.08771056,2856255.5153357903,295.0594609983681
2015-03-12,293.32,294.76,298.9,292.15,8940.4669891,2643757.758694202,295.15638012579865
2015-03-13,294.58,284.0,295.5,280.86,13091.33692614,3784807.968748367,289.49468442000693
2015-03-14,283.96,285.5,289.0,282.18,6244.71481212,1782331.589953365,285.30308110546525
2015-03-15,285.5,293.14,294.38,284.0,6006.51951872,1734468.41036659,287.37138928986803
2015-03-16,293.14,292.59,294.99,290.03,8438.13151658,2470008.715147189,292.86161586620136
2015-03-17,292.55,285.22,293.69,283.51,8113.44637628,2341689.523854674,289.53182086024304
2015-03-18,285.22,256.72,286.0,249.2,21474.22555546,5699280.50169159,270.63463097607644
2015-03-19,256.51,266.3,267.42,252.5,13884.57537435,3624384.34172006,261.5169078840625
2015-03-20,266.25,262.45,266.25,259.31,7702.87412857,2024806.190743104,262.7568691238889
2015-03-21,262.44,261.13,263.36,256.66,6179.3012835399995,1612764.799004126,261.11814588936807
2015-03-22,261.38,269.5,271.6,259.71,6458.19258267,1717697.3062248507,264.4635165512292
2015-03-23,269.38,267.86,273.99,260.81,13853.99448424,3705575.00498259,268.37883501998607
2015-03-24,267.74,248.89,268.1,244.8,18598.73301909,4661338.028096087,254.45185720414585
2015-03-25,249.05,247.17,249.99,234.51,11522.50049332,2824953.4685056815,245.79669359181253
2015-03-26,247.07,248.84,254.9,244.92,11968.59798061,3000589.716310442,250.26655435249998
2015-03-27,248.75,249.61,250.54,246.8,7901.60035652,1966826.090585385,248.94783688485415
2015-03-28,249.6,247.49,254.99,247.01,6820.92570167,1720686.458090053,252.59057982236806
2015-03-29,247.48,245.45,251.64,237.94,10273.43900534,2507408.0211679055,245.13274360209027
2015-03-30,245.64,248.92,250.06,242.0,9947.03932043,2463514.5684409104,247.32514859490973
2015-03-31,248.92,244.51,249.11,242.87,8489.97719402,2084609.694206167,245.95593370451388
2015-04-01,244.9,248.26,249.55,241.07,10124.60985975,2484422.341779468,245.26544909094446
2015-04-02,248.19,253.8,255.24,245.8,8916.15507517,2238120.816316019,250.3368071581389
2015-04-03,253.79,255.3,257.43,252.59,7309.47284679,1864958.455597581,255.09114875503474
2015-04-04,255.3,253.21,255.7,251.26,4952.29089619,1255167.7174023034,253.49895505007638
2015-04-05,253.2,262.32,263.0,252.06,6099.25595851,1578006.003492687,257.35820687359023
2015-04-06,262.32,254.01,262.78,253.45,8237.94998085,2125679.023954815,258.184823184
2015-04-07,254.01,254.05,258.11,253.68,7848.42676651,2006354.416117101,255.5190223443264
2015-04-08,254.26,246.16,255.47,244.29,7987.98706941,1979847.806775444,248.96188483692362
2015-04-09,246.16,242.3,246.89,239.02,7797.25393399,1905505.71629833,244.3137257710486
2015-04-10,242.29,237.55,243.42,232.35,11825.13317966,2804977.412931821,237.93552377025
2015-04-11,237.55,237.77,239.16,234.77,6448.29954037,1530594.1970184061,237.08067382279165
2015-04-12,237.77,237.26,238.53,234.02,5018.23189117,1191406.5509522138,237.44804854322916
2015-04-13,237.42,225.14,238.0,220.77,13120.9491472,3010515.713357581,231.88910394934027
2015-04-14,225.15,223.06,225.29,216.92,12786.93101995,2824323.008509389,221.11513744020834
2015-04-15,223.06,227.65,227.99,218.09,8744.06542624,1949256.598076792,222.9272655612361
2015-04-16,227.69,228.88,230.75,225.87,8467.73811149,1936433.191251181,228.1860933700347
2015-04-17,228.8,223.92,229.29,220.46,7401.94782316,1656950.592346812,224.09691018919443
2015-04-18,223.92,224.07,224.07,222.18,4434.3612326,990230.623921875,223.44919723536108
2015-04-19,224.07,225.29,226.72,223.44,5719.06396461,1284694.141598213,224.6987192484653
2015-04-20,225.28,226.29,227.45,223.47,8354.29222848,1883539.9523421188,225.37591463069444
2015-04-21,226.29,236.25,236.5,224.01,10303.29548879,2366003.1826028717,228.68142058769445
2015-04-22,236.25,234.92,238.6,233.05,6835.70922958,1612445.433397596,235.857889759625
2015-04-23,234.9,234.17,236.93,232.11,7534.65033742,1769915.235579187,234.98487896590277
2015-04-24,234.17,229.9,234.34,229.54,6809.37526202,1580162.2003612786,231.99404640969445
2015-04-25,229.96,221.68,231.14,220.0,6468.93150361,1463050.736504142,228.1698466307014
2015-04-26,221.68,221.52,223.05,215.56,8798.76734031,1932541.099948565,219.76915620686805
2015-04-27,221.52,226.81,231.11,218.78,12147.82408401,2717983.507639281,223.34052148713195
2015-04-28,226.79,225.82,227.55,220.46,6958.84096091,1564404.178573032,225.01797279386807
2015-04-29,225.79,225.52,227.3,220.2,7648.37474471,1722358.688262131,225.03773426075693
2015-04-30,225.51,237.58,240.0,225.17,11950.02402929,2797579.5331082516,233.71498559287502
2015-05-01,237.59,234.14,238.45,233.0,10700.06032972,2516207.527537431,235.3737880347014
2015-05-02,234.14,236.74,237.15,233.51,5886.68236997,1388607.656307955,235.54078716202085
